alternativa,x1,x2,x3,ganancia,tiempo,metodo,alternativas_equivalentes,ganancia_normalizada,tiempo_normalizado,distancia_ideal_positiva,distancia_ideal_negativa,puntaje_topsis,ranking_topsis,puntaje_suma_ponderada,ranking_suma_ponderada
121,1,46,5,3480.0,64.5,MOPSO,1,0.4945770065075922,0.5201421800947866,0.34846661593150163,0.35887125228965067,0.5073547853328568,69,0.5073595933011894,103
122,4,50,1,3500.0,64.89999999999999,MOPSO,1,0.49891540130151846,0.5154028436018958,0.3485398754238699,0.3586630273839135,0.5071571764756888,79,0.5071591224517071,107
123,1,45,6,3505.0,65.0,MOPSO,1,0.5,0.5142180094786729,0.3485628143946449,0.3586154490788875,0.5071075676406198,84,0.5071090047393365,110
124,0,50,3,3520.0,65.1,MOPSO,1,0.5032537960954447,0.5130331753554502,0.3478122623621764,0.3593283395099013,0.5081427067801093,27,0.5081434857254474,85
125,0,46,6,3530.0,65.39999999999999,MOPSO,1,0.5054229934924078,0.5094786729857821,0.34828780757507155,0.35882479031491815,0.507450710657874,65,0.507450833239095,98
126,1,47,5,3545.0,65.69999999999999,NSGA-II,1,0.5086767895878525,0.5059241706161138,0.34839253087253264,0.35871692972279934,0.5073004247748006,75,0.5073004801019831,104
127,0,45,7,3555.0,65.9,MOPSO,1,0.5108459869848156,0.5035545023696681,0.3484715844105108,0.3586539973551301,0.5071998618110946,78,0.5072002446772419,105
128,0,47,6,3595.0,66.6,MOPSO,1,0.5195227765726681,0.495260663507109,0.3484322602873197,0.3588826549846329,0.507387370512525,67,0.5073917200398885,101
129,0,43,9,3605.0,66.9,MOPSO,1,0.5216919739696312,0.49170616113744064,0.34897750442926306,0.35844715949664363,0.50669304842569,105,0.5066990675535359,122
130,0,46,7,3620.0,67.1,NSGA-II,1,0.5249457700650759,0.4893364928909953,0.34873117829924966,0.35882386514280046,0.5071320860024109,80,0.5071411314780356,108
131,1,47,6,3635.0,67.39999999999999,MOPSO,1,0.5281995661605207,0.4857819905213271,0.34893259042518854,0.358810160115006,0.5069782203217654,91,0.5069907783409239,114
132,1,50,4,3650.0,67.6,MOPSO,1,0.5314533622559653,0.4834123222748815,0.3487114783451609,0.3592109928650445,0.5074157234343187,66,0.5074328422654234,99
133,0,41,11,3655.0,67.89999999999999,MOPSO,1,0.5325379609544468,0.4798578199052133,0.34966721517121957,0.35842021677833136,0.5061807350414341,119,0.5061978904298301,131
134,0,47,7,3685.0,68.3,MOPSO,1,0.5390455531453362,0.47511848341232227,0.3492776862792947,0.35927276603083436,0.507053188462401,88,0.5070820182788293,111
135,0,50,5,3700.0,68.5,MOPSO,1,0.5422993492407809,0.47274881516587675,0.3491001638550172,0.35971517427949673,0.5074878532195717,62,0.5075240822033289,96
136,0,46,8,3710.0,68.8,MOPSO,1,0.544468546637744,0.4691943127962085,0.34973689488321735,0.3593707352575205,0.5067929323869901,100,0.5068314297169763,118
137,6,44,7,3730.0,69.5,NSGA-II,1,0.5488069414316703,0.46090047393364925,0.3514980352381817,0.3583358431122427,0.5048164845899873,147,0.5048537076826598,163
138,0,44,10,3760.0,69.8,MOPSO,1,0.5553145336225597,0.45734597156398105,0.3507914475101842,0.35970111514917585,0.5062700639712754,117,0.5063302525932704,128
139,0,47,8,3775.0,70.0,MOPSO,1,0.5585683297180043,0.45497630331753547,0.3506824594534818,0.36020897252305195,0.5067003994140635,104,0.5067723165177699,120
140,0,43,11,3785.0,70.3,MOPSO,1,0.5607375271149675,0.45142180094786727,0.3513863829747659,0.35993340241148253,0.5060078600450173,124,0.5060796640314174,134
141,0,49,7,3815.0,70.7,MOPSO,1,0.5672451193058569,0.4466824644549762,0.35122538415745974,0.3610028564387984,0.5068640021014469,96,0.5069637918804165,116
142,1,50,6,3830.0,71.0,NSGA-II,1,0.5704989154013015,0.443127962085308,0.35163107381271086,0.3611894943294792,0.5067046469637281,103,0.5068134387433048,119
143,0,48,8,3840.0,71.19999999999999,MOPSO,1,0.5726681127982647,0.4407582938388626,0.35191043879423944,0.3613227923213782,0.5065983700110293,108,0.5067132033185636,121
144,0,44,11,3850.0,71.5,MOPSO,1,0.5748373101952278,0.43720379146919425,0.3526694221004563,0.36110423995971136,0.5059086082231571,129,0.506020550832211,136
145,0,47,9,3865.0,71.7,MOPSO,1,0.5780911062906724,0.4348341232227487,0.3526398952417423,0.36168703387433937,0.5063326316444345,114,0.5064626147567106,126
146,0,36,17,3870.0,72.1,MOPSO,1,0.579175704989154,0.43009478672985785,0.35421922568653075,0.3607027941470254,0.5045344585000998,154,0.5046352458595059,171
